epoch,train_loss,validation_loss,selection_score,source_ap,transit_ap,victim_ap,path_ap,learning_rate,best_epoch,early_stop_counter,epoch_seconds,maximum_preclip_gradient_norm,train_source_loss,validation_source_loss,train_transit_loss,validation_transit_loss,train_victim_loss,validation_victim_loss,train_path_loss,validation_path_loss
25,0.846806291215243,0.9607285803152988,0.6153393746225831,0.6130489700357327,0.5971529200495372,0.6325449323196283,0.6200011025978598,0.001,23,2,24.314876317977905,164.15087890625,0.15585140274876955,0.16924293181296357,0.24635692197518683,0.2975652194005053,0.12770159756937585,0.14800823598833682,0.31689636948639055,0.34591218581753824
26,0.889232957707678,1.154453961633022,0.6385969102521853,0.6493489967636208,0.6138197966955232,0.6484075310117707,0.6411768964813782,0.001,26,0,24.506307125091553,135.1479949951172,0.1778035842085467,0.2712513670458495,0.2506070816610404,0.2914442057051668,0.1329266782395024,0.24163314171068817,0.3278956169094384,0.35012523942219037
27,0.8746970418961804,1.3940117989463368,0.623694109093388,0.6293204845740358,0.6157953241412448,0.6206175866539919,0.6289736801118403,0.001,26,1,24.696293115615845,94.59535217285156,0.15459190238753193,0.29711206879652324,0.2640084462150134,0.44442218460266314,0.13433538474741646,0.2158097602322336,0.32176130946068426,0.43666777764548137
28,0.8773878818141644,1.588502014124835,0.6263828900245596,0.6319191474474978,0.6061569762927722,0.6344641895682092,0.6332592716253246,0.001,26,2,24.68113899230957,85.8787841796875,0.15781631432188023,0.26349674052966815,0.2713756007971272,0.6286556144051092,0.12765912967165285,0.23868712870401745,0.3205368372077352,0.4576625079487475
29,0.9166227971270973,1.0281446188650216,0.6359412574399026,0.6430759238764188,0.61462841623834,0.6472146232344943,0.6377886020438417,0.001,26,3,24.66006350517273,297.734619140625,0.16315320776837333,0.17301969905770448,0.26896796461990186,0.38295079677902155,0.1480243425980141,0.13466368434834144,0.3364772843547664,0.3375104354411402
30,0.8563920033276056,0.9759554422982656,0.6324503582654779,0.6416525795146539,0.617895970025464,0.6326600125997666,0.6365779437738704,0.001,26,4,24.839097261428833,88.07839965820312,0.15211728696788054,0.164020870608845,0.25559054914313684,0.36753246639195075,0.13213477217562913,0.12505869889015744,0.3165493950532765,0.31934340574123243
31,0.9151262400091379,1.1093537964278863,0.6329638537272955,0.6399219446775266,0.6076121303073806,0.6456980876764024,0.6382985791404586,0.001,26,5,24.695194244384766,143.07855224609375,0.16978854045534789,0.19580686541504938,0.2721808043682354,0.412125067740184,0.13776001710595154,0.1361422031394671,0.3353968804861812,0.3652796671460567
32,0.7816882262468997,1.0175048831474431,0.6405435477856805,0.637751320552245,0.634987740275937,0.6422780491392996,0.6495085213309889,0.0005,32,0,24.082717657089233,48.054595947265625,0.14424247922026928,0.19753488159880023,0.2175320181756183,0.35823782717054986,0.11850467050957801,0.12124841849618183,0.3014090561667642,0.3404837476034883
33,0.7545219695109705,1.2042265854880576,0.6507025225850206,0.657736500925962,0.633744979466671,0.660644031870546,0.6489215973646387,0.0005,33,0,25.325096607208252,57.2483024597168,0.13795096331996703,0.2478625872202151,0.2087588857844401,0.38054327759297035,0.1150273025404108,0.1707903663621856,0.29278481766737413,0.4050303582639682
34,0.7742029398682282,0.9844913226891294,0.636940423567137,0.6320327460734088,0.6223487030379562,0.6529290298993966,0.6425558325538805,0.0005,33,1,24.990570545196533,97.00675964355469,0.14283709137951386,0.15614292486112846,0.2180275240176587,0.3882892297635552,0.11618008942726119,0.1248223812415682,0.2971582341669182,0.31523678395635474
